Date	Serial	Power	Repetition rate	Wavelength	PER	Threshold
2019-12-06 06:55:13.707	K0007873	2.72	78.1576621	1065.56	31.9	69.1
2019-12-06 07:52:40.627	K0007882	3	78.12007345	1065.13	25.86	105.7
2019-12-06 11:02:21.403	K0007877	3.66	78.12248333	1065.13	29.67	87.3
2019-12-06 14:10:48.540	K0007880	3.48	78.07627975	1063.63	33.54	69.3
2019-12-06 14:50:07.777	K0007878	3.394	78.08417615	1065.32	33.53	67.6
2019-12-09 14:08:34.977	K0007881	3.68	78.13474585	1065.27	22.52	84.1
2019-12-11 16:05:01.223	K0007879	3.1	78.1157865	1065.06	24.45	68.2
2019-12-12 16:21:12.107	K0007487	3.09	78.11103303	1065.3	28.5	100.7
2019-12-20 07:04:21.103	K0008679	3.26	78.13811557	1065.21	30.07	77.7
2019-12-20 08:09:34.003	K0008680	3.46	78.11496354	1065.43	29.09	76.8
2019-12-20 10:42:05.900	K0008678	3.05	9.91E+31	1065.43	32.64	72.3
2019-12-20 13:16:41.490	K0008682	3.34	78.08980209	1065.39	21.94	76.2
2020-01-20 10:47:28.000	K0008696	3.63	78.08149916	1065.47	21.87	80.4
2020-01-20 11:33:32.243	K0008697	3.27	78.1022614	1065.87	27.32	76.7
2020-01-20 13:02:59.160	K0008700	3.18	78.11087778	1065.51	26.94	67.1
2020-01-20 13:37:43.327	K0008698	3.51	78.11034623	1065.37	21.72	74
2020-01-20 14:35:45.693	K0008701	3.48	78.09364209	1065.3	21.09	75.4
2020-01-21 07:13:09.743	K0008699	3.29	78.11918288	1065.7	26.27	72
2020-01-22 10:37:38.370	K0008689	3.33	78.08837809	1065.24	32.25	80.1
2020-01-22 10:52:55.920	K0008685	3.74	78.09386589	1065.86	29.03	79.8
2020-01-22 11:23:26.117	K0008687	3.486	78.10880424	1065.4	32.29	72.7
2020-01-22 14:14:45.923	K0008688	3.49	78.10711852	1065.35	20.4	79
2020-01-22 14:28:04.103	K0008686	3.3	78.10601195	1065.4	21.22	68.3
2020-01-23 07:46:13.373	K0007488	3.49	78.11380212	1065.47	31.48	76.6
2020-01-23 09:18:28.547	K0008690	3.356	78.13127943	1065.23	23.92	80.5
2020-01-23 09:42:38.980	K0008692	3.39	78.07709143	1065.39	25.57	88.1
2020-01-23 14:07:09.667	K0008691	3.41	78.11065919	1065.52	26.61	68.8
2020-01-23 14:42:59.927	K0008695	3.43	78.14583698	1065.66	29.87	76.7
2020-01-23 15:00:55.423	K0008693	2.69	78.03945457	1065.52	22.22	77.5
2020-01-23 15:23:23.477	K0008694	3.58	78.09905387	1065.57	24.88	100.2
2020-02-07 09:31:27.177	K0012075	2.5402	78.05522119	1065.49	25.07	77.8
2020-02-07 10:40:59.757	K0012073	2.138	78.09410413	1065.37	21.37	71.9
2020-02-07 11:47:59.697	K0012074	3.18	78.0794975	1065.51	29.41	75.8
2020-02-07 13:47:01.090	K0012072	2.5004	78.07626607	1065.6	25.2	62.6
2020-02-07 14:13:31.100	K0012076	2.76	78.08488905	1065.3	26.52	71.5
2020-02-07 15:00:39.950	K0012077	2.4388	78.07802484	1065.68	25.77	67.2
2020-02-14 07:56:58.030	K0012079	3.33	78.07718822	1065.85	24.36	83
2020-02-14 09:04:49.393	K0012083	3.33	78.1285716	1065.3	26.36	71.1
2020-02-14 10:14:33.580	K0012080	3.66	78.13920166	1065.32	20.95	72.4
2020-02-14 10:56:15.830	K0012081	3.27	78.06729273	1065.2	33.58	73.2
2020-02-14 13:32:18.290	K0012082	3.38	78.10657645	1065.36	25.29	76.8
2020-02-14 14:11:57.310	K0012078	3.45	78.09255293	1065.86	28.19	78.7
2020-02-18 10:09:28.867	K0013233	3.41	78.11336654	1065.92	24.63	84.9
2020-02-18 10:49:30.230	K0013237	3.21	78.10528389	1065.82	27.14	74.6
2020-02-18 13:09:09.113	K0013239	3.31	78.09556705	1065.37	19.49	80.7
2020-02-18 13:35:02.350	K0013236	3.48	78.11579349	1065.74	27.18	76
2020-02-19 10:44:17.747	K0013234	3.65	78.11318373	1065.55	19.39	88.6
2020-02-19 11:25:27.543	K0013190	3.48	78.09621099	1065.33	29.16	83.7
2020-02-19 13:04:16.867	K0013232	3.54	78.09168206	1065.75	26.83	80.4
2020-02-19 13:35:46.140	K0013231	3.41	78.11368156	1065.78	30.81	81.6
2020-02-19 14:21:52.180	K0013189	3.52	78.08022208	1065.87	24	77.4
2020-03-04 10:29:43.103	K0013747	3.27	78.09398878	1066.38	16.31	68.2
2020-03-04 11:05:25.490	K0013746	3.71	78.11755656	1065.94	28.88	68.7
2020-03-09 08:50:01.353	K0013742	3.24	78.14191329	1065.88	25.15	73.7
2020-03-09 09:49:11.650	K0013745	3.59	78.07250148	1065.9	23.07	77.6
2020-03-09 10:28:28.397	K0013744	3.63	78.12600869	1065.91	29.46	71.2
2020-03-09 11:07:46.510	K0013743	-0.00302	78.12795439	1065.7	20.94	73.9
2020-03-09 13:36:52.220	K0013752	3.802	78.12613256	1065.86	26.33	84.2
2020-03-09 14:09:55.783	K0013753	3.87	78.10078243	1065.89	23.37	84.2
2020-03-09 14:58:09.980	K0013750	3.36	78.02510113	1065.93	0	85.5
2020-03-10 07:52:36.420	K0013751	3.3	78.06681771	1065.86	28.55	78.6
2020-03-10 16:08:23.897	K0013749	3.62	78.09564855	1065.46	23.74	85.4
2020-03-11 06:34:41.743	K0013748	0.00268	78.2032779	1064.51	25.12	86.1
2020-03-11 09:39:16.157	K0013188	3.23	78.06165387	1065.78	31.38	71.6
2020-03-13 10:53:08.330	K0014232	3.2	78.17699985	1065.57	22.68	74.5
2020-03-13 12:54:18.940	K0014234	3.09	78.29568706	1065.93	24.65	121.9
2020-03-13 13:41:25.317	K0014233	3.51	78.15255596	1065.87	29.23	73.4
2020-03-17 09:29:58.660	K0014226	0.06012	78.29341278	1065.83	24.96	77.2
2020-03-17 10:49:04.917	K0014229	3.504	78.10206389	1065.87	29.44	87.3
2020-03-17 14:42:07.650	K0014230	3.58	78.10664239	1065.66	23.36	72.1
2020-03-17 15:51:40.807	K0014228	3.14	78.04703563	1065.75	27.29	76.7
2020-03-18 07:20:12.737	K0014231	3.45	78.1038882	1065.89	29.32	72
2020-03-18 07:56:31.133	K0007483	2.99	78.13953624	1065.95	24.47	71.6
2020-03-24 16:14:11.733	K0014223	2.77	78.12939395	1065.8	22.75	91.7
